Paso,Mejor Fitness,NFE Acumulado
0,-35776.0,1
1,-28870.0,11
2,-25677.0,21
3,-25973.0,31
4,-27882.0,41
5,-28644.0,51
6,-28701.8711698627,61
7,-27690.0,71
8,-27695.999999999993,81
9,-28171.994874360793,91
10,-28436.99975089831,101
11,-28639.0,111
12,-28026.99999999999,121
13,-28044.723044596474,131
14,-28276.994551825795,141
15,-29311.0,151
16,-28767.0,161
17,-29358.999285495473,171
18,-29578.96882480221,181
19,-31511.037262428978,191
20,-31497.8738110024,201
21,-30470.996895945435,211
22,-30804.999993069534,221
23,-30900.9999998976,231
24,-31553.0,241
25,-31692.0,251
26,-31649.281357274012,261
27,-31739.0,271
28,-32133.996794854087,281
29,-32040.0,291
30,-32125.0,301
31,-32299.0,311
32,-32318.0,321
33,-32206.0,331
34,-32302.0,341
35,-32397.842148249576,351
36,-32164.999973803762,361
37,-32423.848341363217,371
38,-35969.49734831945,381
39,-35451.35903288232,391
40,-35281.800583521464,401
41,-35020.0,411
42,-34942.0,421
43,-34540.0,431
44,-34583.0,441
45,-34960.0,451
46,-35149.38040100354,461
47,-35246.0,471
48,-35026.0,481
49,-34645.99999398909,491
50,-35218.0,501
51,-35808.0,511
52,-35900.06052439572,521
53,-35844.883933017016,531
54,-36748.81767643191,541
55,-36256.0,551
56,-36351.40882916468,561
57,-36827.9999999629,571
58,-36507.9999516975,581
59,-37167.28135727388,591
60,-36387.0,601
61,-36841.999999791085,611
62,-36824.85136571278,621
63,-36769.85433885542,631
64,-36821.41591135471,641
65,-37004.0,651
66,-37057.632368809405,661
67,-37237.11514011397,671
68,-37416.30209497661,681
69,-37130.992147820296,691
70,-37256.871255241385,701
71,-37352.99517957324,711
72,-37439.53754491672,721
73,-37418.99384378277,731
74,-37525.0,741
75,-37928.999988933356,751
76,-37836.0,761
77,-38143.0,771
78,-38464.0,781
79,-38977.99999999995,791
80,-38407.9665935609,801
81,-39054.60348673132,811
82,-39257.0,821
83,-39252.999673411905,831
84,-39422.99999969544,841
85,-39454.80058352047,851
86,-39550.66627762477,861
87,-39703.99997864895,871
88,-39764.708250851174,881
89,-39895.99999980817,891
90,-39775.99999999192,901
91,-39823.99999570221,911
92,-40216.0,921
93,-42491.99999953424,931
94,-40500.99963383102,941
95,-40738.0,951
96,-41704.0,961
97,-41037.99999995596,971
98,-41848.6069116145,981
99,-41764.07351838901,991
100,-41648.88635372093,1001
